instance_folder,instance_id,method,nr_samples,obj,obj_pi,rel_regret,time_limit_SAA,time_limit_pi,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online
ubo50,1,proactive,10,inf,inf,0.0,600,60.0,False,False,"[0, 2, 1, 3, 6, 2, 3, 4, 3, 2, 2, 7, 3, 7, 5, 1, 3, 11, 5, 8, 8, 1, 6, 8, 2, 4, 2, 6, 5, 5, 1, 6, 4, 2, 1, 4, 2, 1, 7, 2, 2, 1, 5, 3, 4, 6, 1, 2, 6, 4, 7, 0]",,0.11048674583435059,0.0
ubo50,2,proactive,10,inf,inf,0.0,600,60.0,False,False,"[0, 1, 3, 1, 2, 6, 1, 6, 9, 3, 5, 5, 8, 7, 1, 9, 2, 1, 9, 6, 1, 1, 2, 5, 5, 4, 1, 1, 5, 3, 4, 10, 1, 1, 3, 7, 5, 3, 1, 5, 9, 3, 3, 9, 8, 2, 5, 3, 2, 8, 9, 0]",,0.10706305503845215,0.0
ubo50,3,proactive,10,inf,181.0,100.0,600,,False,True,"[0, 4, 5, 8, 1, 2, 6, 6, 11, 7, 1, 7, 5, 2, 6, 8, 9, 11, 6, 1, 6, 6, 9, 4, 1, 2, 5, 9, 8, 2, 6, 11, 5, 9, 1, 1, 1, 8, 6, 12, 3, 3, 4, 8, 6, 3, 6, 2, 6, 8, 1, 0]","[0, 37, 0, 19, 11, 0, 13, 106, 150, 106, 85, 163, 100, 163, 79, 175, 166, 19, 28, 98, 117, 37, 43, 86, 143, 185, 145, 66, 125, 55, 3, 86, 177, 134, 19, 27, 77, 111, 152, 43, 60, 172, 21, 190, 208, 215, 31, 206, 184, 198, 17, 221]",600.2112011909485,0.0010929107666015625
ubo50,4,proactive,10,inf,173.0,100.0,600,,False,True,"[0, 6, 8, 3, 1, 1, 2, 7, 9, 2, 1, 1, 2, 7, 5, 4, 4, 4, 8, 6, 6, 3, 5, 7, 5, 1, 1, 3, 1, 9, 5, 11, 1, 8, 10, 5, 7, 6, 7, 1, 9, 1, 1, 2, 7, 8, 1, 6, 3, 1, 7, 0]","[0, 145, 71, 2, 168, 0, 53, 2, 23, 136, 199, 34, 48, 145, 108, 157, 168, 108, 217, 176, 124, 181, 102, 124, 132, 186, 144, 196, 141, 170, 116, 80, 32, 37, 90, 161, 11, 187, 59, 207, 23, 207, 142, 208, 242, 208, 156, 231, 200, 229, 217, 250]",600.2227692604065,0.0008478164672851562
ubo50,5,proactive,10,inf,inf,0.0,600,60.0,False,False,"[0, 7, 6, 3, 5, 1, 8, 3, 3, 1, 9, 2, 3, 1, 4, 5, 6, 2, 8, 1, 3, 6, 9, 6, 4, 11, 2, 4, 3, 12, 3, 5, 1, 10, 3, 8, 7, 12, 1, 7, 2, 1, 1, 10, 1, 1, 4, 9, 3, 4, 5, 0]",,600.1367781162262,0.0
ubo50,6,proactive,10,inf,201.0,100.0,600,,False,True,"[0, 2, 9, 5, 8, 1, 7, 8, 2, 9, 8, 9, 3, 5, 7, 5, 3, 2, 8, 5, 1, 4, 4, 3, 5, 1, 8, 6, 1, 1, 7, 7, 1, 2, 9, 4, 7, 10, 8, 8, 10, 5, 1, 5, 2, 2, 7, 6, 8, 1, 1, 0]","[0, 0, 114, 50, 5, 80, 81, 24, 138, 199, 88, 153, 123, 35, 5, 129, 97, 142, 110, 162, 110, 42, 147, 59, 102, 210, 61, 61, 141, 220, 199, 222, 137, 193, 99, 68, 177, 166, 16, 182, 126, 145, 112, 211, 229, 145, 150, 229, 72, 206, 220, 236]",170.38669896125793,0.0012102127075195312
ubo50,7,proactive,10,inf,149.0,100.0,600,60.0,False,True,"[0, 6, 9, 2, 1, 8, 2, 2, 2, 3, 11, 9, 7, 5, 5, 11, 7, 4, 5, 7, 8, 5, 5, 6, 7, 1, 3, 5, 1, 3, 7, 1, 1, 7, 1, 3, 3, 11, 9, 10, 2, 4, 2, 4, 1, 9, 2, 2, 2, 5, 7, 0]",,0.1576368808746338,0.0
ubo50,8,proactive,10,inf,inf,0.0,600,60.0,False,False,"[0, 1, 3, 2, 6, 9, 3, 2, 7, 5, 11, 2, 7, 3, 1, 4, 3, 9, 4, 1, 8, 2, 6, 1, 4, 3, 1, 8, 6, 1, 6, 1, 1, 9, 5, 10, 1, 3, 3, 2, 1, 8, 3, 6, 4, 6, 1, 3, 4, 8, 2, 0]",,600.1555881500244,0.0
ubo50,9,proactive,10,inf,181.0,100.0,600,,False,True,"[0, 11, 4, 5, 1, 4, 7, 5, 9, 1, 2, 2, 1, 6, 8, 1, 7, 8, 8, 4, 1, 1, 2, 1, 2, 6, 9, 8, 3, 1, 9, 4, 4, 6, 2, 6, 5, 1, 2, 2, 3, 2, 5, 2, 3, 9, 11, 11, 9, 2, 9, 0]","[0, 50, 0, 13, 136, 1, 51, 144, 43, 85, 157, 105, 41, 172, 18, 66, 81, 5, 181, 160, 27, 35, 168, 183, 58, 72, 107, 125, 160, 60, 170, 88, 28, 63, 79, 28, 149, 138, 140, 122, 116, 201, 42, 181, 38, 190, 94, 190, 124, 137, 203, 213]",600.2826340198517,0.0012650489807128906
ubo50,10,proactive,10,225.0,163.0,38.03680981595092,600,,True,True,"[0, 1, 11, 1, 2, 4, 10, 1, 8, 9, 9, 6, 9, 5, 3, 1, 6, 10, 1, 1, 5, 1, 2, 1, 6, 6, 1, 8, 5, 2, 7, 1, 1, 1, 1, 4, 7, 4, 4, 1, 4, 2, 12, 2, 8, 5, 3, 4, 12, 1, 7, 0]","[0, 19, 0, 0, 214, 12, 197, 0, 71, 161, 41, 126, 41, 134, 156, 64, 52, 94, 21, 92, 66, 150, 88, 190, 22, 143, 10, 33, 150, 109, 114, 218, 218, 80, 196, 87, 71, 82, 156, 180, 191, 106, 152, 185, 173, 208, 221, 208, 94, 216, 173, 225]",600.2368738651276,0.001004934310913086
