,instance_name,iteration,makespan_stnu,makespan_lb,time_initial_cp,time_build_stnu,time_dc_checking,time_rte,time_cp_lb,status,schedule_feasibility
0,j10_PSP_1,0,30,26,0.0371851921081543,0.0058727264404296875,0.18186116218566895,0.0026149749755859375,0.03324079513549805,feasible_and_dc,True
1,j10_PSP_1,1,30,26,0.0371851921081543,0.0058727264404296875,0.18186116218566895,0.002456188201904297,0.03161215782165527,feasible_and_dc,True
2,j10_PSP_1,2,29,26,0.0371851921081543,0.0058727264404296875,0.18186116218566895,0.0024061203002929688,0.03248000144958496,feasible_and_dc,True
3,j10_PSP_1,3,29,26,0.0371851921081543,0.0058727264404296875,0.18186116218566895,0.0024881362915039062,0.03143191337585449,feasible_and_dc,True
4,j10_PSP_1,4,29,26,0.0371851921081543,0.0058727264404296875,0.18186116218566895,0.0024900436401367188,0.032182931900024414,feasible_and_dc,True
5,j10_PSP_1,5,29,26,0.0371851921081543,0.0058727264404296875,0.18186116218566895,0.0024518966674804688,0.035186052322387695,feasible_and_dc,True
6,j10_PSP_1,6,29,26,0.0371851921081543,0.0058727264404296875,0.18186116218566895,0.0024192333221435547,0.034931182861328125,feasible_and_dc,True
7,j10_PSP_1,7,29,26,0.0371851921081543,0.0058727264404296875,0.18186116218566895,0.0024178028106689453,0.03383827209472656,feasible_and_dc,True
8,j10_PSP_1,8,29,26,0.0371851921081543,0.0058727264404296875,0.18186116218566895,0.002318859100341797,0.03152322769165039,feasible_and_dc,True
9,j10_PSP_1,9,29,29,0.0371851921081543,0.0058727264404296875,0.18186116218566895,0.00251007080078125,0.03202700614929199,feasible_and_dc,True
10,j10_PSP_2,0,inf,inf,0.03173398971557617,0.0,0.0,0.0,0,infeasible,
11,j10_PSP_3,0,inf,inf,0.038630008697509766,0.005985736846923828,0.19025397300720215,0.0,0,feasible_but_not_dc,
12,j10_PSP_4,0,inf,inf,0.03636980056762695,0.006564140319824219,0.18719482421875,0.0,0,feasible_but_not_dc,
13,j10_PSP_5,0,inf,inf,0.03946280479431152,0.00573420524597168,0.19845104217529297,0.0,0,feasible_but_not_dc,
14,j10_PSP_6,0,inf,inf,0.032621145248413086,0.0,0.0,0.0,0,infeasible,
15,j10_PSP_7,0,inf,inf,0.033479928970336914,0.0054378509521484375,0.18628573417663574,0.0,0,feasible_but_not_dc,
16,j10_PSP_8,0,inf,inf,0.033776044845581055,0.005172014236450195,0.1917407512664795,0.0,0,feasible_but_not_dc,
17,j10_PSP_9,0,46,41,0.03553414344787598,0.005502223968505859,0.18840789794921875,0.002613067626953125,0.03705334663391113,feasible_and_dc,True
18,j10_PSP_9,1,45,40,0.03553414344787598,0.005502223968505859,0.18840789794921875,0.002482891082763672,0.04170799255371094,feasible_and_dc,True
19,j10_PSP_9,2,50,44,0.03553414344787598,0.005502223968505859,0.18840789794921875,0.0025551319122314453,0.034844160079956055,feasible_and_dc,True
20,j10_PSP_9,3,47,44,0.03553414344787598,0.005502223968505859,0.18840789794921875,0.002481222152709961,0.03466296195983887,feasible_and_dc,True
21,j10_PSP_9,4,45,40,0.03553414344787598,0.005502223968505859,0.18840789794921875,0.002460002899169922,0.03629326820373535,feasible_and_dc,True
22,j10_PSP_9,5,47,43,0.03553414344787598,0.005502223968505859,0.18840789794921875,0.002621173858642578,0.037593841552734375,feasible_and_dc,True
23,j10_PSP_9,6,46,42,0.03553414344787598,0.005502223968505859,0.18840789794921875,0.0025849342346191406,0.03658914566040039,feasible_and_dc,True
24,j10_PSP_9,7,47,40,0.03553414344787598,0.005502223968505859,0.18840789794921875,0.0025069713592529297,0.035327911376953125,feasible_and_dc,True
