instance_name,method,test_sample_id,obj,obj_pi,rel_regret
j30_1,STNU,0,inf,inf,0
j30_1,STNU,1,inf,inf,0
j30_1,STNU,2,inf,inf,0
j30_1,STNU,3,inf,inf,0
j30_1,STNU,4,inf,inf,0
j30_1,STNU,5,inf,inf,0
j30_1,STNU,6,inf,inf,0
j30_1,STNU,7,inf,inf,0
j30_1,STNU,8,inf,inf,0
j30_1,STNU,9,inf,inf,0
j30_1,STNU,10,inf,inf,0
j30_1,STNU,11,inf,inf,0
j30_1,STNU,12,inf,inf,0
j30_1,STNU,13,inf,inf,0
j30_1,STNU,14,inf,inf,0
j30_1,STNU,15,inf,inf,0
j30_1,STNU,16,inf,inf,0
j30_1,STNU,17,inf,inf,0
j30_1,STNU,18,inf,inf,0
j30_1,STNU,19,inf,inf,0
j30_1,STNU,20,inf,inf,0
j30_1,STNU,21,inf,inf,0
j30_1,STNU,22,inf,inf,0
j30_1,STNU,23,inf,inf,0
j30_1,STNU,24,inf,inf,0
j30_1,STNU,25,inf,inf,0
j30_1,STNU,26,inf,inf,0
j30_1,STNU,27,inf,inf,0
j30_1,STNU,28,inf,inf,0
j30_1,STNU,29,inf,inf,0
j30_1,STNU,30,inf,inf,0
j30_1,STNU,31,inf,inf,0
j30_1,STNU,32,inf,inf,0
j30_1,STNU,33,inf,inf,0
j30_1,STNU,34,inf,inf,0
j30_1,STNU,35,inf,inf,0
j30_1,STNU,36,inf,inf,0
j30_1,STNU,37,inf,inf,0
j30_1,STNU,38,inf,inf,0
j30_1,STNU,39,inf,inf,0
j30_1,STNU,40,inf,inf,0
j30_1,STNU,41,inf,inf,0
j30_1,STNU,42,inf,inf,0
j30_1,STNU,43,inf,inf,0
j30_1,STNU,44,inf,inf,0
j30_1,STNU,45,inf,inf,0
j30_1,STNU,46,inf,inf,0
j30_1,STNU,47,inf,inf,0
j30_1,STNU,48,inf,inf,0
j30_1,STNU,49,inf,inf,0
j30_2,STNU,0,inf,inf,0
j30_2,STNU,1,inf,inf,0
j30_2,STNU,2,inf,inf,0
j30_2,STNU,3,inf,94,100
j30_2,STNU,4,inf,inf,0
j30_2,STNU,5,inf,inf,0
j30_2,STNU,6,inf,inf,0
j30_2,STNU,7,inf,inf,0
j30_2,STNU,8,inf,inf,0
j30_2,STNU,9,inf,inf,0
j30_2,STNU,10,inf,inf,0
j30_2,STNU,11,inf,105,100
j30_2,STNU,12,inf,inf,0
j30_2,STNU,13,inf,inf,0
j30_2,STNU,14,inf,inf,0
j30_2,STNU,15,inf,inf,0
j30_2,STNU,16,inf,inf,0
j30_2,STNU,17,inf,inf,0
j30_2,STNU,18,inf,inf,0
j30_2,STNU,19,inf,inf,0
j30_2,STNU,20,inf,inf,0
j30_2,STNU,21,inf,inf,0
j30_2,STNU,22,inf,inf,0
j30_2,STNU,23,inf,inf,0
j30_2,STNU,24,inf,inf,0
j30_2,STNU,25,inf,inf,0
j30_2,STNU,26,inf,inf,0
j30_2,STNU,27,inf,inf,0
j30_2,STNU,28,inf,86,100
j30_2,STNU,29,inf,90,100
j30_2,STNU,30,inf,inf,0
j30_2,STNU,31,inf,inf,0
j30_2,STNU,32,inf,inf,0
j30_2,STNU,33,inf,inf,0
j30_2,STNU,34,inf,inf,0
j30_2,STNU,35,inf,inf,0
